Disease,Symptoms,Specialist
Influenza,"Fever, cough, sore throat, fatigue, body aches",General Practitioner (GP) or Infectious Disease Specialist
Common Cold,"Runny or stuffy nose, sore throat, cough, congestion, mild fever",General Practitioner (GP)
Migraine,"Intense headache, nausea, sensitivity to light and sound",Neurologist
Chronic Fatigue Syndrome,"Persistent fatigue, muscle and joint pain, headaches, unrefreshing sleep",Rheumatologist or Internal Medicine Specialist
Asthma,"Shortness of breath, wheezing, coughing, chest tightness",Pulmonologist or Allergist
Pneumonia,"Fever, cough, difficulty breathing, chest pain, fatigue",Pulmonologist or Infectious Disease Specialist
Diabetes,"Increased thirst, frequent urination, fatigue, blurred vision",Endocrinologist
Heart Disease,"Chest pain or discomfort, shortness of breath, fatigue, nausea",Cardiologist
Hypertension,"High blood pressure, headache, dizziness, chest pain",Cardiologist or Nephrologist
Gastroenteritis,"Diarrhea, vomiting, abdominal pain, nausea, fever",Gastroenterologist
Acid Reflux,"Heartburn, regurgitation, chest pain, difficulty swallowing",Gastroenterologist or Gastrointestinal (GI) Surgeon
Allergic Rhinitis,"Sneezing, runny or stuffy nose, itchy or watery eyes, cough",Allergist or Immunologist
Anemia,"Fatigue, weakness, pale or yellowish skin, shortness of breath",Hematologist
Anxiety Disorders,"Excessive worrying, restlessness, fatigue, muscle tension, difficulty concentrating",Psychiatrist or Psychologist
Appendicitis,"Sudden pain that begins around the navel and often shifts to the lower right abdomen, nausea, vomiting, loss of appetite",General Surgeon
Arthritis,"Joint pain, stiffness, swelling, redness, decreased range of motion",Rheumatologist or Orthopedic Surgeon
Atherosclerosis,"Chest pain or discomfort, shortness of breath, fatigue, nausea",Cardiologist or Vascular Surgeon
Autism,"Impaired social interaction, communication challenges, repetitive behavior",Child Psychiatrist or Developmental Pediatrician
Autoimmune Diseases,"Fatigue, joint pain, muscle weakness, fever, skin rashes",Rheumatologist or Immunologist
Back Pain,"Muscle ache, shooting or stabbing pain, limited flexibility or range of motion",Orthopedic Surgeon or Pain Management Specialist
Bacterial Infections,"Fever, chills, cough, diarrhea, abdominal pain, muscle aches",Infectious Disease Specialist
